"age","case","educ","male","marr","sleep","exper","yngkid","yrsmarr","hrwage"
32,1,12,1,1,3113,14,0,13,7.07000350952148
31,2,14,1,0,2920,11,0,0,1.42999935150146
44,3,17,1,1,2670,21,0,0,20.5299968719482
30,4,12,0,1,3083,12,0,12,9.61999797821045
64,5,14,1,1,3448,44,0,33,2.75000023841858
41,6,12,1,1,4063,23,0,23,19.2499980926514
35,7,12,1,1,3180,17,1,0,1.43999981880188
47,8,13,1,1,2928,28,0,24,15.0100069046021
32,9,17,1,1,3368,9,0,11,4.32999753952026
30,10,15,1,1,3018,9,0,7,2.95999908447266
43,11,8,1,1,1575,29,0,23,2.40000081062317
23,12,16,0,1,3295,1,0,4,1.22999978065491
24,13,16,1,1,3798,2,0,4,1.22999978065491
48,14,5,1,1,3008,37,0,0,5.61000156402588
33,15,12,1,1,3248,15,0,9,3.13000011444092
23,16,12,1,1,3683,5,0,4,2.30999875068665
46,17,17,1,1,3201,23,0,21,9.90000343322754
37,18,14,1,1,2580,17,1,17,3.95999979972839
53,19,12,1,1,3420,35,0,26,3.29999852180481
45,20,17,1,1,3090,22,0,22,14.850001335144
46,21,17,1,0,2760,23,0,0,35.5099868774414
40,22,13,1,1,2880,21,0,0,5.32999897003174
53,23,12,1,1,3470,35,0,31,3.26999998092651
29,24,13,1,0,2673,10,0,0,5.06000232696533
29,25,12,1,1,2820,11,0,4,2.49000072479248
53,26,12,1,1,2873,35,0,0,5.3199987411499
28,27,13,1,1,1905,9,0,4,2.6899995803833
35,28,12,0,0,2926,17,0,0,2.6899995803833
36,29,12,1,1,2603,18,1,6,2.95999908447266
59,30,12,1,1,3238,41,0,0,3.46000146865845
26,31,12,1,1,3888,8,0,2,3.46000146865845
24,32,16,1,1,2716,2,0,1,4.23000001907349
28,33,16,1,0,3245,6,0,0,4.80999946594238
39,34,16,1,1,3158,17,0,0,24.6299934387207
33,35,17,1,1,3105,10,0,5,19.2499980926514
28,36,17,1,0,3515,5,0,0,3.84999942779541
33,37,12,1,1,3330,15,0,11,7.69999694824219
47,38,12,1,1,4153,29,0,22,5.38999795913696
31,39,16,1,1,2955,9,1,7,4.62000131607056
26,40,12,1,0,2200,8,0,0,3.84999942779541
31,41,15,1,1,2885,10,0,13,5.38999795913696
38,42,16,1,1,3345,16,0,15,7.69999694824219
44,43,17,0,0,2765,21,0,0,2.15999937057495
49,44,12,1,1,3928,31,0,30,6.08000135421753
56,45,11,1,1,2833,39,0,35,5.76999950408936
41,46,12,1,1,3750,23,0,19,5.76999950408936
36,47,12,1,1,3328,18,0,15,5.76999950408936
36,48,9,1,1,3795,21,0,18,7.41999959945679
37,49,12,1,1,3363,19,0,17,4.32999753952026
23,50,9,1,1,2280,8,0,0,4.53999996185303
29,51,10,1,1,4151,13,0,5,3.29999852180481
29,52,17,1,0,3266,6,0,0,4.73999929428101
26,53,16,1,1,3570,4,0,2,3.39000010490417
29,54,16,1,1,2885,7,1,10,7.34999752044678
25,55,17,1,0,2879,2,0,0,3.15000176429749
24,56,14,0,0,2790,4,0,0,1.04999983310699
23,57,16,1,1,2799,1,0,0,8.40000247955322
28,58,12,1,1,3173,10,0,5,5.46000099182129
29,59,17,1,1,3308,6,1,7,5.46000099182129
39,60,12,1,1,3305,21,0,19,8.40000247955322
31,61,12,0,0,2975,13,0,0,2.79999876022339
50,62,8,1,1,3316,36,0,28,4.28000020980835
36,63,10,1,1,3226,20,0,15,3.05000114440918
28,64,12,0,1,3635,10,0,5,2.43999981880188
50,65,11,1,1,3233,33,0,26,5.17999935150146
50,66,12,1,1,3348,32,0,28,7.99000215530396
50,67,13,0,0,2630,31,0,0,5.99999713897705
55,68,12,0,0,2858,37,0,0,3.22999954223633
34,69,16,0,1,3203,12,0,12,3.22999954223633
44,70,12,1,0,3451,26,0,0,5.99999713897705
30,71,16,1,1,3008,8,1,4,5.76999950408936
23,72,9,1,1,2821,8,0,2,2.7699990272522
32,73,16,1,1,3525,10,1,7,5.54000282287598
40,74,15,1,1,3150,19,0,18,8.31000328063965
34,75,10,0,1,3113,18,0,15,2.7699990272522
23,76,16,0,1,2816,1,0,0,5.54000282287598
24,77,12,1,1,3105,6,1,4,5.54000282287598
39,78,12,1,1,3605,21,0,18,5.54000282287598
39,79,17,1,0,3611,16,0,0,7.85000324249268
33,80,16,1,1,3128,11,0,11,7.85000324249268
31,81,12,1,1,3213,13,0,8,7.85000324249268
37,82,14,1,1,3860,17,0,17,2.53999972343445
60,83,6,0,1,4275,48,0,0,1.2700001001358
43,84,12,1,1,3076,25,0,23,7.61999750137329
34,85,16,1,1,4313,12,1,9,7.39000225067139
37,86,16,1,1,2885,15,0,12,4.62000131607056
50,87,17,1,0,3165,27,0,0,16.1700057983398
32,88,12,1,1,3105,14,0,12,2.30999875068665
47,89,12,1,1,3063,29,0,27,6.93000173568726
35,90,17,1,1,3368,12,1,8,6.93000173568726
62,91,16,1,1,3415,40,0,39,4.62000131607056
38,92,16,1,1,3508,16,1,6,11.5500068664551
51,93,16,1,0,2788,29,0,0,8.33000469207764
32,94,12,1,0,3180,14,0,0,4.99000024795532
49,95,12,1,1,3123,31,0,24,4.87000036239624
36,96,17,1,1,3388,13,0,14,6.46999979019165
41,97,17,1,1,3610,18,0,17,6.46999979019165
34,98,12,1,1,3351,16,1,5,2.08000016212463
36,99,12,1,1,2653,18,0,11,4.15999984741211
31,100,16,1,1,3413,9,1,9,4.15999984741211
38,101,12,1,1,3218,20,0,16,5.26999807357788
32,102,12,1,1,3045,14,1,10,3.70000076293945
35,103,12,1,1,3433,17,0,13,3.70000076293945
23,104,16,0,1,3730,1,0,2,2.65999984741211
27,105,15,1,1,2970,6,1,6,1.39000034332275
47,106,12,0,1,3475,29,0,0,0.959999978542328
39,107,11,1,1,3430,22,0,22,1.91999959945679
34,108,14,0,1,2910,14,1,17,1.43999981880188
52,109,7,1,1,3570,39,0,0,2.59999871253967
45,110,12,1,1,3060,27,0,23,6.25000333786011
61,111,17,1,1,3495,38,0,0,5.76999950408936
44,112,12,0,0,2970,26,0,0,5.76999950408936
51,113,8,1,1,3008,37,0,27,5.76999950408936
49,114,15,0,1,3428,28,0,26,4.80999946594238
64,115,10,1,1,3288,48,0,42,4.80999946594238
30,116,12,1,1,2400,12,1,9,9.61999797821045
36,117,12,1,1,3070,18,0,6,9.61999797821045
26,118,15,0,1,2250,5,1,5,4.32999753952026
44,119,8,1,1,3323,30,0,24,8.66000270843506
28,120,12,1,0,3023,10,0,0,4.09000015258789
59,121,13,1,1,3505,40,0,37,32.47998046875
35,122,12,1,1,3503,17,0,14,5.40000009536743
56,123,12,1,1,3370,38,0,33,3.61000084877014
38,124,12,1,1,3120,20,0,19,7.22000074386597
28,125,17,1,1,3308,5,0,2,7.22000074386597
50,126,14,0,1,3398,30,0,20,3.3700008392334
46,127,8,1,1,3333,32,0,25,6.74000024795532
28,128,16,0,0,2728,6,0,0,3.54000091552734
28,129,12,1,1,3256,10,1,6,2.89000153541565
36,130,12,0,1,3250,18,0,0,1.66000068187714
47,131,16,1,1,2915,25,0,19,10.3200025558472
40,132,14,1,1,4170,20,0,10,3.43999838829041
42,133,14,1,1,3030,22,0,20,12.779993057251
41,134,16,0,0,3668,19,0,0,4.66999959945679
44,135,17,1,1,2303,21,0,14,5.8999981880188
53,136,16,0,1,3618,31,0,32,2.45999932289124
39,137,11,1,1,3316,22,0,20,4.02000045776367
26,138,12,0,1,3601,8,0,6,0.509999752044678
25,139,12,0,1,2413,7,0,0,1.06000006198883
32,140,6,1,1,2771,20,1,10,2.05000042915344
32,141,12,1,1,3383,14,0,0,2.82000017166138
24,142,17,0,1,3808,1,0,3,2.82000017166138
56,143,12,1,1,3363,38,0,28,3.58999919891357
34,144,10,1,1,3675,18,0,17,3.58999919891357
23,145,13,1,1,3120,4,1,0,4.35999965667725
29,146,12,0,1,3536,11,0,8,8.71999740600586
27,147,12,1,1,3253,9,0,8,5.13000154495239
58,148,10,1,0,2885,42,0,0,5.13000154495239
